ID_Club;ID_Prov;Province;gdp_2012;gdpg_2012;gdpc_2012;wage_2012;gap_hp;backinf;forwinf;grdp;trade;trade_grdp;pcons;pcons_grdp;loan;loan_grdp;agri_g;trade_g;pcons_g;loan_g;cpi;gap_ham;spainfquepoly;spainfquepoly19;spainfquepolydia;ogap_prov_nat;stdev_all_mtm;stdev_2012_mtm;stdev_all_yoy;stdev_2012_yoy;inf2012_mtm;inf2012_yoy;lbr_prod;gcons_g;gcons_grdp;grev_g;gexp_g;gdirexp_g;gindirexp_g;lbr_prod_g;market;trans_cost18;pop;gdppc_2015;pop_sq;gdp_sq;nat_gap;exp_cap;wage_hour;gdp_g;std_gdp_g;std_pcons_g
3;12;East Java;1124464640;6.644797817;30.0043208;745000;0.008910553;4.605299967;4.335657428;1376634705;324975878.4;23.56231092;831415739.7;60.53330566;421893526.1;30.20091216;2.249912434;6.445296335;4.994446559;13.4604522;120.1397383;0.045448209;4.739952163;2.882797093;4.44469494;0.043678702;0.496626212;0.351463308;1.688669227;0.363281718;0.367867898;4.454730729;69.5374392;2.614887934;5.080600977;14.41608019;14.43921481;10.47400547;17.29076862;4.54331288;10370.74279;2995817.3;38828061;2.901652287;812.3067798;28800.03986;0.039348658;750839.3068;11141.5;5.75902821;0.421949992;0.900907753
1;13;West Kalimantan;96161928.39;5.908017388;21.87495456;900000;0.016127134;5.892326226;5.535931389;115973361.4;20079497.6;17.32263384;62017705.33;53.55043564;55594440.75;46.99165371;4.642276452;5.052326088;4.733723308;15.10604944;126.1782593;-0.36504307;5.385416179;2.274317603;5.02479795;0.111489084;0.777275498;0.923540672;2.24232184;0.865955343;0.505278862;6.315106995;50.71175768;3.945388033;12.06484498;13.1254873;15.39768565;15.76044213;20.04092407;3.493799177;11334.61848;807737.9;4783209;23.55438201;32.4710231;787.2902267;0.039348658;802175.3761;13767.25;5.288773272;0.438556875;0.635603719
2;14;South Kalimantan;96697838.67;5.967761852;26.66337949;1225000;-0.259874304;4.908656398;4.912296594;114401808.3;11862255.72;10.30229515;53227876.18;46.51565008;50973314.01;44.11822364;3.573067752;7.61452234;4.757913417;11.91422201;120.2904745;-0.444999338;4.638945658;2.037535737;4.498000727;0.220441831;0.584659931;0.904737502;1.35471747;0.588208407;0.487269517;5.97828947;58.68192455;2.761639315;11.14233807;11.0348012;15.24141469;15.22897286;17.35584793;2.644215767;4086.476923;847014.7;3984315;28.27726523;102.8363449;2952.744404;0.039348658;964435.8274;14819.5;4.855089646;0.715452538;0.304806
3;15;Central Kalimantan;64649165.3;6.87061607;29.2253907;1327459;0.39539974;4.848534673;4.587997253;81892686.66;10598798.81;12.88435248;32841784.98;40.33791682;38371328.85;46.25295135;5.174145651;7.700121158;4.657527093;12.24747543;119.8233951;0.023066319;5.276795202;2.404747542;4.877657068;-0.056466354;0.627854376;0.734188356;1.527605654;0.652766276;0.476312697;6.062576656;66.83180038;5.128416148;14.09856592;13.51513309;18.48271533;18.53573625;19.63356763;3.77889522;3156.119138;617546.8;2490178;45.2439673;16.21584416;533.2787634;0.039348658;944226.9787;16119;6.542830583;0.551617452;0.435985684
2;16;East Kalimantan;428877710.6;5.262755306;120.7037574;1177000;-0.235348618;5.417427186;4.833086216;449707803.6;26048578.19;5.776845819;64814434.21;14.40325816;96023240.97;21.29130821;5.191824197;5.170481558;3.590756861;9.703782269;123.2298714;-0.727112619;5.123740637;2.331974494;4.853032905;0.554194943;0.685380499;0.786221116;2.14702254;0.477902681;0.453034978;5.34248152;293.2944916;0.863164215;3.485483392;2.00576493;6.743527057;5.2167081;6.422302523;1.149922047;5556.292208;2782672;3422676;32.9173816;26.51867283;3484.307049;0.039348658;1223398.893;19647;2.275966988;2.250715065;2.142714854
1;17;North Kalimantan;40768541.33;7.770491715;71.21067958;1171248.836;-0.151254103;6.272260306;5.651486116;50891500.42;6029397.168;11.81446337;8648294.875;17.10893888;6795565.835;13.0980341;5.902547778;6.876112204;3.9936736;14.2951775;128.4000853;-0.014740415;5.019557591;2.529022976;4.951655777;0.595435713;0.816008453;0.778796586;2.780514264;1.067900852;0.488644079;6.559544593;206.5078174;1.970431747;8.054181262;13.4459841;18.01140928;37.33355518;92.13011456;9.827036853;5036.527559;511127.2;639639;176.1392473;8.475665748;674.3481041;0.039348658;1254314.549;18525.75;6.350166063;1.919527682;1.354221985
2;18;Riau Island;128034968;7.627300102;76.24927897;1015000;-0.194172567;4.663352677;4.457538686;156449082.9;15491697.43;9.834040917;59114975.76;37.65986046;42243950.05;26.78250294;2.63089708;7.866944261;6.389305898;11.74378093;120.6883953;0.197138513;5.511158608;2.218188317;4.881322104;0.079627865;0.618359029;0.349764989;1.782971727;0.619059374;0.196366683;2.774175794;181.0505885;3.164172923;5.479723525;9.35695149;9.227951613;10.49010446;9.810451225;2.684695199;10874.65746;3085527.7;1968313;57.23964227;239.9878318;19075.15532;0.039348658;1308933.501;20384;5.485790355;1.804240083;0.789319373
2;19;Lampung;170769206.6;6.439707141;22.44481026;975000;-0.032354092;4.625982592;4.527049131;205974248.8;27560505.01;13.3603119;122715566.6;59.50209511;56409809.76;27.11889877;2.707316948;5.763527772;5.807227438;10.38481878;122.0063931;0.077932571;5.504416205;2.826301879;4.933472179;0.078652036;0.566591753;0.423306142;1.950630209;0.458558564;0.351870312;4.071274108;53.98035552;4.184235765;8.061934424;15.82740766;15.5354214;10.79027471;20.88374069;2.922710005;8590.679025;1999346.9;8109601;13.89285761;234.2204206;5948.92094;0.039348658;705498.5183;10862.5;5.405037561;0.471218219;0.281524585
2;20;North Maluku;17120069.79;6.984040777;16.49194123;960498;-0.682012163;4.931597243;4.619696935;21415196.85;3870746.295;17.96725209;12356945.41;58.08986055;12857794.04;54.95684892;3.787688185;9.057788104;4.469315629;49.31620704;123.4079847;-0.548215026;4.884405979;2.510588992;4.597347537;0.289190718;1.050897734;0.768483737;2.579983807;0.568706485;0.272554026;4.374926242;44.06129874;5.965453527;29.83296341;14.5077136;19.41875329;16.46686237;25.7436688;4.401745297;8057.465278;563388.9;1160275;97.10243865;36.27843352;669.5910842;0.039348658;765986.0096;15099;6.554413759;0.884683025;0.682158531
3;21;Maluku;21000078.81;7.157527941;13.69416149;975000;-0.103983244;4.888511202;4.793245102;25775032.23;4205281.827;16.28448862;17025279.63;66.08633234;10075697.85;38.3880296;4.848925584;6.923790682;5.705073686;13.91352226;119.9936352;-0.01742814;4.800253449;1.998116027;4.467766936;-0.031169757;1.199996756;1.431026747;2.862624438;1.472753618;0.553350948;7.274195352;39.37232664;3.803994503;38.74824639;14.16872845;14.63616807;13.07586318;20.59782127;4.926928872;8547.492386;792227.1;1683856;66.90924402;35.89237591;549.4098935;0.039348658;776565.7171;15573.5;5.947922511;0.639069162;1.243811117
